work_id,composer_id,title,subtitle,searchterms,genre,recommended,popular
0,0,Berceuse élégiaque,For chamber orchestra,,Orchestral,0,0
1,0,Chamber Symphony,,,Orchestral,0,0
2,0,China Gates,,,Keyboard,1,1
3,0,Doctor Atomic,Opera,,Stage,0,0
4,0,Doctor Atomic Symphony,,,Orchestral,1,0
5,0,Fellow Traveler,For string quartet,,Chamber,0,0
6,0,Grand Pianola Music,"For voice, pianos, winds, brass and percussion",,Orchestral,0,0
7,0,Hallelujah Junction,,,Keyboard,0,0
8,0,Harmonielehre,,,Orchestral,1,1
9,0,Harmonium,For chorus and orchestra,,Vocal,0,0
10,0,I was looking at the ceiling and then I saw the sky,,,Stage,0,0
11,0,John's Book of Alleged Dances,For string quartet,,Chamber,0,0
12,0,Light Over Water,For brass and tape,,Orchestral,0,0
13,0,Lollapalooza,,,Orchestral,0,0
14,0,Must the Devil Have All the Good Tunes?,For piano and orchestra,,Orchestral,0,0
15,0,Nixon in China,Opera,,Stage,1,1
16,0,Phrygian Gates,,,Keyboard,0,0
17,0,Road Movies,For violin and piano,,Chamber,0,0
18,0,Shaker Loops,For strings,,Chamber,0,0
19,0,Short Ride in a Fast Machine,,,Orchestral,1,1
20,0,String Quartet,,,Chamber,0,0
21,0,The Chairman Dances,,,Orchestral,0,0
22,0,The Dharma at Big Sur,For electric violin and orchestra ,,Orchestral,1,0
23,0,The Gospel According To The Other Mary,Oratorio,,Vocal,0,0
24,0,The Wound-Dresser,For baritone and orchestra,,Vocal,0,0
25,0,Violin Concerto,,,Orchestral,1,0
0,1,"Catch, op. 4","For clarinet, piano, violin and cello",,Chamber,0,0
1,1,"Chamber Symphony, op. 2",,,Orchestral,0,0
2,1,Concerto for Piano and Orchestra,,,Orchestral,0,0
3,1,Darknesse Visible,For piano,,Keyboard,0,0
4,1,Polaris: Voyage for Orchestra,,,Orchestral,0,0
5,1,Powder Her Face,Opera,,Stage,1,1
6,1,Tevot,,,Orchestral,0,0
7,1,The Fayrfax Carol,For chorus and organ,,Vocal,0,0
8,1,The Tempest,Opera,,Stage,0,0
9,1,Three Studies from Couperin,,,Orchestral,1,1
10,1,Totentanz,"For mezzo-soprano, baritone and orchestra",,Orchestral,1,0
11,1,"Violin Concerto, ""Concentric Paths""",,,Orchestral,1,1
0,2,"2 Character Pieces: Spanish National Songs, op. 164",,,Keyboard,0,0
1,2,"6 Danzas españolas, B.23",,,Keyboard,0,0
2,2,"6 Mazurkas de salon, for piano, op. 66, B.12",,,Keyboard,0,0
3,2,"6 Valses Pequeños, op. 25",,,Keyboard,0,0
4,2,"7 Estudios en los tonos naturales mayores, op. 65, B.11",,,Keyboard,0,0
5,2,Angustia: Romanza sin palabras,,,Keyboard,0,0
6,2,"Arbola-pian, zortzico",,,Keyboard,0,0
7,2,"Asturias, for guitar",,,Chamber,0,0
8,2,Azulejos ,,,Keyboard,0,0
9,2,"Balbina Valverde, polka, for piano",,,Keyboard,0,0
10,2,"Barcarole Catalane in D flat major, op. 23, B.2, ""Primera barcarolla""",,,Keyboard,0,0
11,2,"Berceuse, for piano, T.114 bis",,,Keyboard,0,0
12,2,"Cadix-gaditana, for piano",,,Keyboard,0,0
13,2,"Cantos de España, op. 232",,,Keyboard,1,0
14,2,"Castilla, for two guitars",,,Chamber,0,0
15,2,"Champagne, vals, for piano",,,Keyboard,0,0
16,2,"Chant d'amour, op. 202",,,Keyboard,0,0
17,2,"Deseo, estudio de concierto, op. 40",,,Keyboard,0,0
18,2,"Diva sin par, mazurka for piano",,,Keyboard,0,0
19,2,"España, B.45",,,Keyboard,0,0
20,2,"España: 6 hojas de album, op. 165, B.37",,,Keyboard,0,0
21,2,"Estudio impromptu, for piano, op. 56",,,Keyboard,0,0
22,2,Excerpts from Suite Española,,,Orchestral,0,0
23,2,"Iberia Suite, B.47 Books 1-4",,,Keyboard,1,1
24,2,"Iberia Suite, for orchestra ",,,Orchestral,0,0
25,2,Improvisation I,,,Keyboard,0,0
26,2,"L'Automne-Valse, op. 170",,,Keyboard,0,0
27,2,"Les saisons, for piano, op. 201",,,Keyboard,0,0
28,2,"Mallorca, op. 202",,,Keyboard,0,0
29,2,Marcha militar,,,Keyboard,0,0
30,2,"Mazurka de salon in D minor, op. 96, B.31/2, ""Ricordatti""",,,Keyboard,0,0
31,2,"Mazurka de salon in E flat major, op. 95, B.31/1, ""Amalia""",,,Keyboard,0,0
32,2,"Mazurka de salon, T.81",,,Keyboard,0,0
33,2,Merlin,Opera,,Stage,0,0
34,2,"Pavana fácil para manos pequeñas, for piano in C minor, op. 83, B.28",,,Keyboard,0,0
35,2,"Pavanna capricho, op. 12",,,Keyboard,0,0
36,2,Pepita Jiménez ,,,Stage,0,0
37,2,"Piano Concerto in A minor, op. 78, ""Concierto fantastico""",,,Orchestral,0,0
38,2,"Piano Sonata no. 4 in A major, op. 72, B.20",,,Keyboard,0,0
39,2,"Rapsodia española, for piano and orchestra, op. 70 ",,,Orchestral,0,0
40,2,"Recuerdos de viaje, op. 71",,,Keyboard,0,0
41,2,"Recuerdos, mazurka for piano, op. 80",,,Keyboard,0,0
42,2,"Reves, for piano, op. 101",,,Keyboard,0,0
43,2,"Rhapsodia cubana, op. 66, B.13",,,Keyboard,0,0
44,2,"Rumores de la caleta, for guitar",,,Chamber,0,0
45,2,"Serenata árabe in A minor, B.5",,,Keyboard,0,0
46,2,"Serenata arabe, for piano",,,Keyboard,0,0
